"quantity","method","est_coverage","ci_width","bias","variance","MSE","mu","sigma","efficiency","alpha","ci_target_coverage","n_draws","asymmetry"
"HPD_L","Batches",0.972,2.27032830447864,0.343543944674313,0.0636318825734893,0.18152706073073,2.58,0.254,0.02,0.95,0.95,10000,"moderate"
"HPD_L","Doss",0.83,0.839253289390833,0.0631541064581011,0.0796252522034911,0.0834544428616052,2.58,0.254,0.02,0.95,0.95,10000,"moderate"
"HPD_L","Doss_Opt",0.832,0.843425814899002,0.0800344894612695,0.0770451809567157,0.0832966100981283,2.58,0.254,0.02,0.95,0.95,10000,"moderate"
"HPD_L","Doss_SBM",0.786,0.741525944378915,0.0631541064581011,0.0796252522034911,0.0834544428616052,2.58,0.254,0.02,0.95,0.95,10000,"moderate"
"HPD_L","Gamma_mixture",0.4,0.263129612935434,0.0641406384298303,0.056242574419298,0.0602441107686456,2.58,0.254,0.02,0.95,0.95,10000,"moderate"
"HPD_L","Gaussian_mixture",0.44,0.275949564589163,0.0686131405686806,0.0589844859292306,0.0635742800160697,2.58,0.254,0.02,0.95,0.95,10000,"moderate"
"HPD_L","Meeker",0.364,0.266095646141166,0.0629521562383302,0.0796824682971027,0.0834860773355636,2.58,0.254,0.02,0.95,0.95,10000,"moderate"
"HPD_L","SPIn",0.382,0.269876514697034,0.0548098573388149,0.0809131342807262,0.083755428473666,2.58,0.254,0.02,0.95,0.95,10000,"moderate"
"HPD_L","Stan",0.85,0.937519464423993,0.0629521562383302,0.0796824682971027,0.0834860773355636,2.58,0.254,0.02,0.95,0.95,10000,"moderate"
"HPD_U","Batches",0.988,4.5798588006798,-0.284598099392818,0.291236772916216,0.371650377548388,2.58,0.254,0.02,0.95,0.95,10000,"moderate"
"HPD_U","Doss",0.888,1.96315817750592,-0.00588980354262551,0.318984881938777,0.318381601960671,2.58,0.254,0.02,0.95,0.95,10000,"moderate"
"HPD_U","Doss_Opt",0.9,1.97222281778486,0.0224558316293537,0.326039670249343,0.325891855283011,2.58,0.254,0.02,0.95,0.95,10000,"moderate"
"HPD_U","Doss_SBM",0.862,1.69378419576151,-0.00588980354262551,0.318984881938777,0.318381601960671,2.58,0.254,0.02,0.95,0.95,10000,"moderate"
"HPD_U","Gamma_mixture",0.358,0.474023461137355,0.0401153817585265,0.282766064110085,0.283809775835497,2.58,0.254,0.02,0.95,0.95,10000,"moderate"
"HPD_U","Gaussian_mixture",0.342,0.488532235317735,0.116917679138462,0.303687764853809,0.316750133019225,2.58,0.254,0.02,0.95,0.95,10000,"moderate"
"HPD_U","Meeker",0.35,0.476157807859993,-0.00588980354262551,0.318984881938777,0.318381601960671,2.58,0.254,0.02,0.95,0.95,10000,"moderate"
"HPD_U","SPIn",0.346,0.476159719081138,-0.000618547861611432,0.319481435385992,0.318842855116677,2.58,0.254,0.02,0.95,0.95,10000,"moderate"
"HPD_U","Stan",0.912,2.07825913695641,-0.00588980354262551,0.318984881938777,0.318381601960671,2.58,0.254,0.02,0.95,0.95,10000,"moderate"
