"quantity","method","est_coverage","ci_width","bias","variance","MSE","mu","sigma","efficiency","alpha","ci_target_coverage","n_draws","asymmetry"
"HPD_L","Batches",0.2,0.0592706512733109,0.0344768930796851,4.4840121138571e-05,0.00123340659732433,0,1,0.5,0.95,0.95,4000,"high"
"HPD_L","Doss",0.076,0.0070344341211706,0.0143470251703489,0.000127798355685062,0.000333507688568002,0,1,0.5,0.95,0.95,4000,"high"
"HPD_L","Gamma_mixture",0.174,4.15121784773471e+31,0.222355665930308,28.6522139124496,28.644351526796,0,1,0.5,0.95,0.95,4000,"high"
"HPD_L","Gaussian_mixture",0.002,Inf,-0.017321833951095,26.941123350403,26.8875411496336,0,1,0.5,0.95,0.95,4000,"high"
"HPD_L","Meeker",0.958,0.0465231870887526,0.0100374825606128,9.59636937994017e-05,0.000196522822566408,0,1,0.5,0.95,0.95,4000,"high"
"HPD_U","Batches",0.996,1.86139566956043,0.0806169407978031,0.0454507293627633,0.0518589190476343,0,1,0.5,0.95,0.95,4000,"high"
"HPD_U","Doss",0.912,0.751687739621962,0.0245697495578798,0.0434227020388627,0.0439829519301608,0,1,0.5,0.95,0.95,4000,"high"
"HPD_U","Gamma_mixture",0.882,4.15121784773471e+31,0.186975387916615,26.287658162181,26.2700426415432,0,1,0.5,0.95,0.95,4000,"high"
"HPD_U","Gaussian_mixture",0.742,Inf,0.307380049818587,24.5198894543784,24.5653321704961,0,1,0.5,0.95,0.95,4000,"high"
"HPD_U","Meeker",0.904,0.689485295616435,0.0101672839562068,0.0419999087168082,0.0420192825624208,0,1,0.5,0.95,0.95,4000,"high"
