"quantity","method","est_coverage","ci_width","bias","variance","MSE","mu","sigma","efficiency","alpha","ci_target_coverage","n_draws","asymmetry"
"HPD_L","Batches",0.992,0.644907760654944,0.0553579486873094,0.0050325627727536,0.00808700013007487,4.01,0.0352,0.999,0.95,0.95,10000,"none"
"HPD_L","Doss",0.636,0.18646693517864,0.00479910118872517,0.00961277423038473,0.00962619282837397,4.01,0.0352,0.999,0.95,0.95,10000,"none"
"HPD_L","Doss_SBM",0.3,0.0769314676226393,0.0138397043742723,0.00973630315204395,0.00990836796290712,4.01,0.0352,0.999,0.95,0.95,10000,"none"
"HPD_L","Gamma_mixture",0.998,0.197673651705595,-0.0074692500699352,0.00093462924438783,0.000988549682506281,4.01,0.0352,0.999,0.95,0.95,10000,"none"
"HPD_L","Gaussian_mixture",0.976,0.197467275175909,0.00060655574163286,0.00204836863589482,0.00204463980849074,4.01,0.0352,0.999,0.95,0.95,10000,"none"
"HPD_L","Meeker",0.67,0.198279257879054,0.013711621013267,0.00974311768101762,0.00991163999646705,4.01,0.0352,0.999,0.95,0.95,10000,"none"
"HPD_L","SPIn",0.674,0.199143565210173,0.0104626109905677,0.00980891448314655,0.0098987628829202,4.01,0.0352,0.999,0.95,0.95,10000,"none"
"HPD_L","Stan",0.694,0.203857912174796,0.013711621013267,0.00974311768101762,0.00991163999646705,4.01,0.0352,0.999,0.95,0.95,10000,"none"
"HPD_U","Batches",0.992,0.669519845735817,-0.04699844687566,0.00564632007869388,0.00784388144726072,4.01,0.0352,0.999,0.95,0.95,10000,"none"
"HPD_U","Doss",0.676,0.201669782294102,-0.0207152779021236,0.00964306587147298,0.0100625455441637,4.01,0.0352,0.999,0.95,0.95,10000,"none"
"HPD_U","Doss_SBM",0.312,0.0772116884273262,-0.0148896386603053,0.0102028356425886,0.0104041313107379,4.01,0.0352,0.999,0.95,0.95,10000,"none"
"HPD_U","Gamma_mixture",0.996,0.208573632952027,-0.0131450315914122,0.00111246987947252,0.0012830367952528,4.01,0.0352,0.999,0.95,0.95,10000,"none"
"HPD_U","Gaussian_mixture",0.99,0.204010942802056,-0.0145532301689785,0.00161639193699725,0.00182495566147452,4.01,0.0352,0.999,0.95,0.95,10000,"none"
"HPD_U","Meeker",0.704,0.211987590227573,-0.0148896386603053,0.0102028356425886,0.0104041313107379,4.01,0.0352,0.999,0.95,0.95,10000,"none"
"HPD_U","SPIn",0.706,0.212141629335142,-0.0118010209596063,0.010250268631112,0.0103690321895388,4.01,0.0352,0.999,0.95,0.95,10000,"none"
"HPD_U","Stan",0.706,0.216963740313408,-0.0148896386603053,0.0102028356425886,0.0104041313107379,4.01,0.0352,0.999,0.95,0.95,10000,"none"
