"quantity","min","max","point","lwr","upr","phat_lwr","phat_upr","type","method","n_boot","batch_size","nu","replicate","true_value","covers"
"HPD_L",0.0271989710346086,20.6489326542397,0.0325614831731269,-0.00614906916829934,0.0482220548851898,NA,NA,"normal","bootstrap",300,81,"estimated",1,0.0260914808169586,TRUE
"HPD_L",0.0271989710346086,20.6489326542397,0.0325614831731269,0.0271989710346086,0.0777480472243848,NA,NA,"percent","bootstrap",300,81,"estimated",1,0.0260914808169586,FALSE
"HPD_L",0.0271989710346086,20.6489326542397,0.0325614831731269,-0.0126250808781309,0.0379239953116453,NA,NA,"basic","bootstrap",300,81,"estimated",1,0.0260914808169586,TRUE
"HPD_L",0.0603430215488329,67.7054794816078,0.0603430215488329,0.0430130380783009,0.062802062937023,NA,NA,"normal","bootstrap",300,100,"0.5",183,0.0260914808169586,FALSE
"HPD_L",0.0359024961899789,52.0857098881612,0.0359024961899789,0.00633009356013478,0.0356276346755198,NA,NA,"normal","bootstrap",300,6,"0.2",122,0.0260914808169586,TRUE
"HPD_L",0.0377151568481189,27.790045973428,0.0437717722827127,0.0199977440664818,0.0593033495606946,NA,NA,"normal","bootstrap",300,86,"estimated",62,0.0260914808169586,TRUE
"HPD_L",0.0271989710346086,20.6489326542397,0.0325614831731269,-0.00661780503077952,0.0496204219601934,NA,NA,"normal","bootstrap",300,100,"0.5",1,0.0260914808169586,TRUE
"HPD_L",0.0271989710346086,20.6489326542397,0.0325614831731269,0.0271989710346086,0.0757931414820585,NA,NA,"percent","bootstrap",300,100,"0.5",1,0.0260914808169586,FALSE
"HPD_L",0.0271989710346086,20.6489326542397,0.0325614831731269,-0.0106701751358046,0.0379239953116453,NA,NA,"basic","bootstrap",300,100,"0.5",1,0.0260914808169586,TRUE
"HPD_L",0.0603430215488329,67.7054794816078,0.0603430215488329,0.0430374592987821,0.0619922221124522,NA,NA,"normal","bootstrap",300,6,"0.2",183,0.0260914808169586,FALSE
"HPD_L",0.0447130877761029,32.9231740550103,0.054750973090924,0.0412266862349295,0.073078275792546,NA,NA,"normal","bootstrap",300,83,"estimated",123,0.0260914808169586,FALSE
"HPD_L",0.0377151568481189,27.790045973428,0.0437717722827127,0.0185285988749803,0.0598762002242778,NA,NA,"normal","bootstrap",300,100,"0.5",62,0.0260914808169586,TRUE
"HPD_L",0.0271989710346086,20.6489326542397,0.0325614831731269,-0.00208807841706949,0.0484746859670994,NA,NA,"normal","bootstrap",300,6,"0.2",1,0.0260914808169586,TRUE
"HPD_L",0.0271989710346086,20.6489326542397,0.0325614831731269,0.0271989710346086,0.0681343565802281,NA,NA,"percent","bootstrap",300,6,"0.2",1,0.0260914808169586,FALSE
"HPD_L",0.0271989710346086,20.6489326542397,0.0325614831731269,-0.00301139023397425,0.0379239953116453,NA,NA,"basic","bootstrap",300,6,"0.2",1,0.0260914808169586,TRUE
"HPD_L",0.0243684390319759,42.4612418632944,0.0385457001357576,0.0239033044956738,0.0555841628316976,NA,NA,"normal","bootstrap",300,85,"estimated",184,0.0260914808169586,TRUE
