quantity,method,est_coverage,ci_width,bias,variance,MSE,mu,sigma,efficiency,alpha,ci_target_coverage,n_draws,asymmetry
HPD_L,Batches,0.214,0.0603193789595939,0.034706831507306,4.45770754732949E-05,0.00124905207459888,0,1,0.5,0.95,0.95,4000,high
HPD_L,Doss,0.075,0.00721272359499337,0.0153340997326188,0.000133750194938112,0.000368751059353075,0,1,0.5,0.95,0.95,4000,high
HPD_L,Gamma_mixture,0.212,0.0268304331129509,-0.0168562951386157,6.09009586156007E-06,0.000290212601469957,0,1,0.5,0.95,0.95,4000,high
HPD_L,Gaussian_mixture,0,0.224136578547744,-0.248417574855041,0.00483732097420259,0.0665389378291142,0,1,0.5,0.95,0.95,4000,high
HPD_L,Meeker,0.938,0.0460012320776196,0.0108562645539995,9.7615671234907E-05,0.000215278919958863,0,1,0.5,0.95,0.95,4000,high
HPD_L,SPIn,0.826,0.0369207085736536,0.00123321180445032,0.000146776244543208,0.000148003503408758,0,1,0.5,0.95,0.95,4000,high
HPD_U,Batches,1,1.79466374956492,0.0736066897068388,0.0419874695588084,0.0473214393892896,0,1,0.5,0.95,0.95,4000,high
HPD_U,Doss,0.921,0.741384640659839,0.0167279911796272,0.0414879672962495,0.0417263050178589,0,1,0.5,0.95,0.95,4000,high
HPD_U,Gamma_mixture,0.876,0.670114135187493,-0.0454964961967994,0.0417414348592725,0.0437278831557393,0,1,0.5,0.95,0.95,4000,high
HPD_U,Gaussian_mixture,0.72,0.657018834540106,0.0801011224896214,0.0801996792543295,0.0864554697199182,0,1,0.5,0.95,0.95,4000,high
HPD_U,Meeker,0.894,0.688298021932652,0.00321005217483388,0.0406716908130909,0.0406006518664299,0,1,0.5,0.95,0.95,4000,high
HPD_U,SPIn,0.902,0.688415727232369,0.00152909101529151,0.0403318443134658,0.0402535187441719,0,1,0.5,0.95,0.95,4000,high
