"quantity","method","est_coverage","ci_width","bias","variance","MSE","mu","sigma","efficiency","alpha","ci_target_coverage","n_draws","asymmetry"
"HPD_L","Batches",0.994,0.675184037702443,0.0491026449708597,0.00563303226695969,0.00803283594556007,4.01,0.0352,0.5,0.95,0.95,10000,"none"
"HPD_L","Doss",0.681,0.204594619781067,0.00515469626785164,0.00979001982026229,0.00980680069405583,4.01,0.0352,0.5,0.95,0.95,10000,"none"
"HPD_L","Doss_SBM",0.594,0.178650727093838,0.0141484442337655,0.00957329413956512,0.00975432602552197,4.01,0.0352,0.5,0.95,0.95,10000,"none"
"HPD_L","Gamma_mixture",0.994,0.197869857675387,-0.0102003652270284,0.00148112222048623,0.00158220742681003,4.01,0.0352,0.5,0.95,0.95,10000,"none"
"HPD_L","Gaussian_mixture",0.948,0.197753262457318,-0.00270902744832499,0.00269363277037673,0.00269558433455175,4.01,0.0352,0.5,0.95,0.95,10000,"none"
"HPD_L","Meeker",0.64,0.19722220986846,0.0140433408020135,0.00957878695819324,0.00975684480515835,4.01,0.0352,0.5,0.95,0.95,10000,"none"
"HPD_L","SPIn",0.646,0.198291836952996,0.0106764812787358,0.00963408575249109,0.0097288048334813,4.01,0.0352,0.5,0.95,0.95,10000,"none"
"HPD_L","Stan",0.708,0.224777746811809,0.0140433408020135,0.00957878695819324,0.00975684480515835,4.01,0.0352,0.5,0.95,0.95,10000,"none"
"HPD_U","Batches",0.996,0.713405544390676,-0.0467197473673145,0.00621125448732799,0.00838156677241902,4.01,0.0352,0.5,0.95,0.95,10000,"none"
"HPD_U","Doss",0.747,0.223091027578194,-0.00934689677045136,0.0099325701553696,0.0100100020644517,4.01,0.0352,0.5,0.95,0.95,10000,"none"
"HPD_U","Doss_SBM",0.7,0.204084725567473,-0.00332429999845189,0.0100144376972914,0.0100054597923765,4.01,0.0352,0.5,0.95,0.95,10000,"none"
"HPD_U","Gamma_mixture",0.992,0.208821922697856,-0.00692463380048279,0.00156105506720051,0.0016058835103369,4.01,0.0352,0.5,0.95,0.95,10000,"none"
"HPD_U","Gaussian_mixture",0.98,0.204054818152889,-0.00948080633143135,0.00200290840071372,0.0020887882726064,4.01,0.0352,0.5,0.95,0.95,10000,"none"
"HPD_U","Meeker",0.718,0.215425780785739,-0.00332429999845189,0.0100144376972914,0.0100054597923765,4.01,0.0352,0.5,0.95,0.95,10000,"none"
"HPD_U","SPIn",0.716,0.215789939821322,-8.70180130964826e-05,0.010058136068738,0.0100380273687352,4.01,0.0352,0.5,0.95,0.95,10000,"none"
"HPD_U","Stan",0.78,0.242892409545519,-0.00332429999845189,0.0100144376972914,0.0100054597923765,4.01,0.0352,0.5,0.95,0.95,10000,"none"
