"p","method","est_coverage","ci_width","bias","variance","MSE"
0.000114590993965996,"bm",0.206,0.118663427896468,0.00247374494898593,3.13174162616471e-05,3.73741955017572e-05
0.000114590993965996,"obm",0.206,0.118663725045359,0.00247374494898593,3.13174162616471e-05,3.73741955017572e-05
0.000114590993965996,"sub",1,3.2665675894915,0.00247374494898593,3.13174162616471e-05,3.73741955017572e-05
0.025,"bm",0.978,0.12340739260991,-9.15842234118537e-05,1.41494612634305e-05,1.41295500108815e-05
0.025,"obm",0.978,0.123423686000655,-9.15842234118537e-05,1.41494612634305e-05,1.41295500108815e-05
0.025,"sub",1,0.582303817311428,-9.15842234118537e-05,1.41494612634305e-05,1.41295500108815e-05
0.05,"bm",0.996,0.103463747670768,-0.000170958011373661,1.54968360687483e-05,1.54950690382637e-05
0.05,"obm",0.996,0.103474855110732,-0.000170958011373661,1.54968360687483e-05,1.54950690382637e-05
0.05,"sub",1,0.424911952472294,-0.000170958011373661,1.54968360687483e-05,1.54950690382637e-05
0.1,"bm",0.978,0.0803287655713829,-3.45076908503339e-06,2.34445415970502e-05,2.33976644216633e-05
0.1,"obm",0.978,0.08033252458454,-3.45076908503339e-06,2.34445415970502e-05,2.33976644216633e-05
0.1,"sub",1,0.295473724881278,-3.45076908503339e-06,2.34445415970502e-05,2.33976644216633e-05
0.25,"bm",0.97,0.0556013020628196,0.000137090185851731,4.8757814309172e-05,4.86790923996106e-05
0.25,"obm",0.97,0.0556002201766083,0.000137090185851731,4.8757814309172e-05,4.86790923996106e-05
0.25,"sub",1,0.161018312387362,0.000137090185851731,4.8757814309172e-05,4.86790923996106e-05
0.5,"bm",0.954,0.048495371705606,-0.000272510227619138,0.000154993905984525,0.000154758179996713
0.5,"obm",0.956,0.0484948635603074,-0.000272510227619138,0.000154993905984525,0.000154758179996713
0.5,"sub",1,0.0831926096728885,-0.000272510227619138,0.000154993905984525,0.000154758179996713
0.75,"bm",0.934,0.0528145953215851,0.000706421682941763,0.000827106312683868,0.000825951131652631
0.75,"obm",0.934,0.0528170030428954,0.000706421682941763,0.000827106312683868,0.000825951131652631
0.75,"sub",0.85,0.0455752299978131,0.000706421682941763,0.000827106312683868,0.000825951131652631
0.9,"bm",0.946,0.0666918048116429,0.00265218031940776,0.00390443184988746,0.00390365704663434
0.9,"obm",0.946,0.0666840818684277,0.00265218031940776,0.00390443184988746,0.00390365704663434
0.9,"sub",0.518,0.0249687200627165,0.00265218031940776,0.00390443184988746,0.00390365704663434
0.95,"bm",0.944,0.0827471180546127,0.00512797588147307,0.0124384651779357,0.0124398843842208
0.95,"obm",0.944,0.0827395959095028,0.00512797588147307,0.0124384651779357,0.0124398843842208
0.95,"sub",0.282,0.0173626575565201,0.00512797588147307,0.0124384651779357,0.0124398843842208
0.975,"bm",0.936,0.105166109931083,0.0107316287459185,0.0370338140050408,0.0370749142325709
0.975,"obm",0.936,0.105160281734054,0.0107316287459185,0.0370338140050408,0.0370749142325709
0.975,"sub",0.21,0.0126696760404424,0.0107316287459185,0.0370338140050408,0.0370749142325709
